№ п/п,Уникальный ID,Децимальный номер,Наименовании позиции,Первичная входимость,"Применяемость, шт.","Всего на изделие, шт.",Принадлежность
1,,ЯИУШ.301446.006,Шкаф АПС-Ц,,1,1,Сборка
2,,ЯИУШ.741224.715,Центральная перегородка правая,ЯИУШ.301446.006,1,1,Деталь
3,,ЯИУШ.745551.004,Скоба тяги,ЯИУШ.301446.006,5,5,Деталь
4,,ЯИУШ.745129.001,Тяга,ЯИУШ.301446.006,1,1,Деталь
5,,ЯИУШ.745129.001-01,Тяга,ЯИУШ.301446.006,1,1,Деталь
6,,ЯИУШ.735312.153-01,Полка 605 мм,ЯИУШ.301446.006,1,1,Деталь
7,,ЯИУШ.735312.153,Полка 605 мм,ЯИУШ.301446.006,2,2,Деталь
8,,ЯИУШ.735312.154,Полка 275 мм,ЯИУШ.301446.006,4,4,Деталь
9,,ЯИУШ.735312.154-01,Полка 275 мм,ЯИУШ.301446.006,4,4,Деталь
10,,ЯИУШ.711141.018,Шайба,ЯИУШ.301446.006,28,28,Деталь
11,,ЯИУШ.711141.018-01,Шайба дверцы,ЯИУШ.301446.006,7,7,Деталь
12,,ЯИУШ.711141.018-02,Шайба дверцы,ЯИУШ.301446.006,1,1,Деталь
13,,ЯИУШ.711141.018-03,Шайба дверцы,ЯИУШ.301446.006,10,10,Деталь
14,,ЯИУШ.735336.010,Панель основания,ЯИУШ.301446.006,1,1,Деталь
15,,ЯИУШ.735412.132,Дверца 115х325,ЯИУШ.301446.006,6,6,Деталь
16,,ЯИУШ.735412.132-01,Дверца 195x325,ЯИУШ.301446.006,4,4,Деталь
17,,ЯИУШ.735412.132-09,Дверца 270x660,ЯИУШ.301446.006,1,1,Деталь
18,,ЯИУШ.735412.132-08,Дверца 225x660,ЯИУШ.301446.006,2,2,Деталь
19,,,Винт М4Х6 DIN 7985,ЯИУШ.301446.006,42,42,Стандартные изделия
20,,,Винт М4х10 DIN 7985,ЯИУШ.301446.006,46,46,Стандартные изделия
21,,,Винт М5х12 DIN 7985,ЯИУШ.301446.006,18,18,Стандартные изделия
22,,,Гайка М4 ум.разм. под ключ DIN 936,ЯИУШ.301446.006,10,10,Стандартные изделия
23,,,ШАЙБА А5.04.019 ГОСТ 6958-78,ЯИУШ.301446.006,18,18,Стандартные изделия
24,,,"Заклепка вытяжная синяя DIN 7337A 4х8 St (RAL5005 ""Сигнальный синий"")",ЯИУШ.301446.006,20,20,Стандартные изделия
25,,,Заклепка вытяжная DIN 7337A 4х8 St,ЯИУШ.301446.006,74,74,Стандартные изделия
26,,,"Заклепка вытяжная DIN 7337В 4,8х8 St",ЯИУШ.301446.006,28,28,Стандартные изделия
27,,,Заклепка резьбовая с ум. буртиком М4,ЯИУШ.301446.006,67,67,Стандартные изделия
28,,,Заклепка резьбовая гладкая стандартный буртик М5,ЯИУШ.301446.006,18,18,Стандартные изделия
29,,,Заклепка резьбовая станд. буртик М8,ЯИУШ.301446.006,4,4,Стандартные изделия
30,,,Стойка PCHSN4-15,ЯИУШ.301446.006,3,3,Стандартные изделия
31,,,Крепление магнитное с винтом С16 (М4),ЯИУШ.301446.006,3,3,Стандартные изделия
32,,,"Уплотнитель смоклеющийся 3х8 (рыжий кот), в метрах",ЯИУШ.301446.006,6,6,Стандартные изделия
33,,,Проушина замка SensLock SZST-21 (из комплекта Электронный замок SensLock SZST-21),ЯИУШ.301446.006,14,14,Прочие изделия
34,,ЯИУШ.754312.010,Шильдик,ЯИУШ.301446.006,1,1,Прочие изделия
35,,,Электронный замок SensLock SZST-21,ЯИУШ.301446.006,14,14,Прочие изделия
36,,ЯИУШ.301318.023,Основание,ЯИУШ.301446.006,1,1,Сборка
37,,ЯИУШ.735336.008,Основание,ЯИУШ.301318.023,1,1,Деталь
38,,ЯИУШ.735336.009,Стенка основания,ЯИУШ.301318.023,1,1,Деталь
39,,ЯИУШ.745322.107,Балка,ЯИУШ.301318.023,2,2,Деталь
40,,ЯИУШ.745322.107-01,Балка,ЯИУШ.301318.023,2,2,Деталь
,,,Винт М4Х6 DIN 7985,ЯИУШ.301318.023,2,2,Стандартные изделия
41,,,Втулка запрессовочная BSO-M3-6,ЯИУШ.301318.023,2,2,Стандартные изделия
42,,,Заклепка резьбовая станд. буртик М8,ЯИУШ.301318.023,4,4,Стандартные изделия
43,,ЯИУШ.301251.077-01,Крыша,ЯИУШ.301446.006,1,1,Сборка
44,,ЯИУШ.735332.011-01,Основание крыши,ЯИУШ.301251.077-01,1,1,Деталь
45,,ЯИУШ.735336.007,Панель крыши,ЯИУШ.301251.077-01,1,1,Деталь
46,,ЯИУШ.735336.011,Панель крыши задняя,ЯИУШ.301251.077-01,1,1,Деталь
47,,,Втулка запрессовочная BSO-M3-10 глухая,ЯИУШ.301251.077-01,4,4,Стандартные изделия
48,,,Шпилька запрессовочная РЕМ М4х12,ЯИУШ.301251.077-01,2,2,Стандартные изделия
49,,ЯИУШ.325519.001,Дверца управления,ЯИУШ.301446.006,1,1,Сборка
50,,ЯИУШ.325519.001 Э4,Схема электрическая структурная,ЯИУШ.325519.001,1,1,Схема электрическая
51,,ЯИУШ.325519.001 ПЭ4,Перечень элементов,ЯИУШ.325519.001,1,1,Перечень элементов
52,,ЯИУШ.741244.086,Планка крепления камеры,ЯИУШ.325519.001,1,1,Деталь
